Bacteria;X1;X2;X3
CB;8.0;60;58
CB;8.0;156;68
CB;8.0;90;37
CB;6.1;44;27
CB;7.4;207;31
CB;7.4;120;32
CB;8.4;65;43
CB;8.1;237;45
CB;8.3;57;60
CB;7.0;94;43
CB;8.5;86;40
CB;8.4;52;48
CB;7.9;146;52
SB;6.2;49;30
SB;5.6;31;23
SB;5.8;42;22
SB;5.7;42;14
SB;6.2;40;23
SB;6.4;49;18
SB;5.8;31;17
SB;6.4;31;19
SB;5.4;62;26
SB;5.4;42;16
